id,industrial_park,developer,region,market,submarket,currency,cam_building_sf,cam_land_sf,has_cam_services,has_lightning_maintenanc,has_park_administration,storm_sewer_maintenance,has_survelliance,has_management_fee,latitude,longitude
1,Parque Queretaro,Vynmsa,BAJIO,QUERETARO,North,'USD',0.0165,0,1,1,1,1,1,0,20.829466,-100.412619
2,La Bomba,Construye Industrial,BAJIO,QUERETARO,El Marques,'USD',0.023,0,1,1,1,1,1,0,20.5646,-100.249925
3,Parque Queretaro,Advance,BAJIO,QUERETARO,North,'USD',0,0.0024,1,1,1,1,1,0,20.830673,-100.424014
4,Aerospace,Vesta,BAJIO,QUERETARO,Airport,'USD',0,0.0013,1,1,1,1,1,0,20.619187,-100.172048
5,Tecnologico Innovacion,Advance,BAJIO,QUERETARO,El Marques,'USD',0,0.0022,1,1,1,1,1,0,20.556312,-100.278713
6,Aeropuerto,Advance,BAJIO,QUERETARO,Airport,'USD',0,0.0022,1,1,1,1,1,0,20.635869,-100.210914
7,Calamanda,AM Desarrollos,BAJIO,QUERETARO,El Marques,'USD',0.009,0,0,1,0,1,1,0,20.541375,-100.191909
8,Odonnell Aeropuerto,Odonnell,BAJIO,QUERETARO,Airport,'USD',0,0.0067,1,1,1,1,1,0,20.616507,-100.227897
9,Castro del Rio,Marabis,BAJIO,GUANAJUATO,Irapuato,'USD',0.035,0,1,1,1,1,1,0,20.786501,-101.336537
10,Lagos de Moreno,Lintel,BAJIO,GUANAJUATO,Leon,'USD',0,0.0022,1,1,1,1,1,0,21.390233,-101.880337
11,Puerto Interior Santa Fe III,RMSG,BAJIO,GUANAJUATO,Silao,'USD',0.026,0,1,1,1,1,1,0,21.019554,-101.504294
12,Cuadritos,Cuadritos,BAJIO,GUANAJUATO,Celaya,'USD',0,0.0037,1,1,1,1,1,0,20.627184,-100.7914
13,GIC & VILLAGRAN,GIC,BAJIO,GUANAJUATO,Celaya,'USD',0,0.0028,1,1,1,1,1,0,,
14,Chuy Maria,Amistad,BAJIO,GUANAJUATO,Celaya,'USD',0,0.0037,1,1,1,1,1,0,20.50002,-100.669523
