"name","website","primary_color","secondary_color"
"ADS","www.adsmexicana.com","#282828","#B1D24F"
"Advance ","www.advance-realestate.com","#FF8200","#646363"
"Aliah","www.aliah.mx","#A2AD8D","#D9D2D2"
"Altea Desarrollos","www.alteadesarrollos.com","#003399","#959191"
"American Industries","www.aiig.com","#003056","#AAA7A7"
"Amistad","www.amistadmexico.com","#0D145C","#727070"
"Ampi","www.ampi.com","#0C683F","#D7D1D1"
"Areya","www.areya.com.mx","#FF9933","#646A71"
"Artha Capital","www.artha.com.mx","#5E3925","#28292D"
"Atisa","www.atisa.com","#D2262C","#000000"
"AVANTE","www.grupoavante.com.mx","#112734","#C3BFBF"
"B-N ","www.b-n.mx","#003B59","#C3BFBF"
"BLI","www.bli.com.mx","#333333","#008584"
"Calidra","www.calidra.com.mx","#202020","#ED1D24"
"Carza","www.carza.com","#0D0000","#979292"
"CBC","www.cbcmexico.mx","#1970B1","#F9BA34"
"CBRE","www.cbre.com","#0D6A4E","#BDBEB8"
"Centinela","www.igs.com.mx","#0D6CB0","#18A149"
"Colliers","www.colliers.com","#25408F","#4A4A4D"
"CPA","www.cpamericas.com","#0B5EF6","#AEA7A7"
"CREA","www.crea-mx.com","#00598F","#00AEEF"
"Cushman ","www.cushwake.com","#717271","#EB0029"
"Davisa","www.davisa.com","#0434BE","#CAC8C8"
"EDSA","www.edsaconsulting.com","#343841","#e92627"
"Escala","www.escala.com.mx","#E65632","#DBDADA"
"Exeter","www.exeterpg.com","#C8A019","#EF7D00"
"Fibra Mty","www.fibramty.com","#165290","#D0C7C7"
"Finsa","www.finsa.net","#182B54","#2889C9"
"G Industrial","www.g-industrial.com","#17254B","#8FA9ED"
"GP","www.gpdesarrollos.com.mx","#00369C","#31C0FF"
"GRSJ","www.gruporiosanjuan.com","#325A9D","#93C844"
"Grupo Gallegos","www.grupogallegos.mx","#1D5E6C","#4C4C4C"
"Hermes Industrial","www.hermesgroup.com.mx","#0B4C86","#EE2628"
"IGS","www.igs.com.mx","#0D6CB0","#18A149"
"Imobilem","www.imobilem.com","#0d2a3f","#e83e47"
"Intermex","www.intermex.com","#CB9C0D","#333333"
"IPADE","www.ipade.mx","#B49A69","#282E9C"
"JLL","www.jll.com.mx","#080000","#DEDADA"
"LCB","www.lcb-realestate.com","#dd9737","#000000"
"Market Analysis","www.marketanalysis.mx","#00598F","#00AEEF"
"MEOR","www.meor.com.mx","#002A3A","#FFD600"
"Monex","www.monex.com.mx","#282E9C","#C8C3C3"
"MPA Group","www.fibramacquarie.com","#000000","#6C6666"
"MRP","www.mrp.com.mx","#000000","#817E7E"
"Newmark","www.nmrk.com","#026BB6","#D6D2D2"
"Ocalta","www.ocalta.com","#060000","#C4C3C3"
"ODonnell","www.odonnell.com.mx","#73243C","#E2E0E0"
"Parks","www.parks.com.mx","#05662F","#87BC1C"
"PGIM","www.pgim.com","#002247","#717070"
"Prodensa","www.prodensa.com.mx","#00ACEC","#062D5D"
"Prologis","www.prologis.com","#1B4D4A","#008E5B"
"Propty","www.propty.mx","#00aeef","#28a745"
"Prosperity","www.prosperityindustrial.com","#353535","#76BC21"
"REGS","www.regs.com.mx","#595959","#A99B9B"
"REI","rei.realestate","#013766","#8E9CBB"
"RMSG","www.rmsg.mx","#1E325B","#A5D25C"
"Robertson Industries","www.robertsonindustries.com.mx","#C1321B","#D2CECE"
"Savills","www.savills.com","#001844","#FEDE07"
"Savy Capital","www.savy-capital.com","#182C51","#FECD01"
"Select","www.prodensa-select.com","#FF8200","#7F7C7C"
"Select Regional Solutions","www.prodensa-select.com","#FF8200","#8C8989"
"Select RS","www.prodensa-select.com","#FF8200","#D9D5D5"
"Sitius ","www.sitiusnet.com","#433191","#7969C2"
"SMBC","www.smbcgroup.com","#1B4D4A","#008E5B"
"Stiva","www.stiva.com","#2A2A2A","#FDB813"
"Thor Urbana","www.thorurbana.com","#AEB0B3","#FAD652"
"User Web Test","test.com,",,
"Vesta","www.vesta.com.mx","#03037A","#FFA240"
"VYNMSA","www.vynmsa.com","#099074","#D5D0D0"
"WTC","www.wtcindustrial.mx","#00598F","#00AEEF"
