descripcion,catalogo,market,submarket,market_name,submarket_name,is_builder,is_developer,is_owner
360,15,19,20,Saltillo,Ramos Arizpe,1,1,1
Abitat,15,27,29,Juarez,Southeast,1,0,0
Adhoc,15,9,48,Monterrey,Escobedo,0,1,1
Advance,15,3,14,Queretaro,El Marques,1,1,1
Aerotech,,,,,,0,1,0
Ajava,15,5,980,Mexico City,Toluca,1,0,0
Ajax,15,5,52,Mexico City,Tultitlan,1,0,0
Aktia,15,35,46,Reynosa,West,1,0,0
Algol,15,9,10,Monterrey,Apodaca,1,0,0
Alianza,15,19,65,Saltillo,Derramadero,1,1,1
Aliah Development,,,,,,1,1,1
Alliuz,,,,,,0,1,1
Altea Desarrollos,,,,,,0,1,1
Alveo Capital,15,25,26,Guadalajara,El Salto,1,1,1
AM Desarrollos,15,3,49,Queretaro,North,1,1,1
American Industries,15,9,10,Monterrey,Apodaca,0,1,1
Amistad,15,19,20,Saltillo,Ramos Arizpe,1,1,1
Apo Constructora,15,917,921,La Laguna,Gomez Palacio,1,0,0
Apolo,15,1,41,Guanajuato,Irapuato,1,0,0
Are Desarrollos,15,917,918,La Laguna,Matamoros,1,1,1
Arende,15,9,58,Monterrey,Guadalupe,1,1,0
Arenko,15,9,10,Monterrey,Apodaca,1,0,0
Ares,,,,,,0,0,1
Areya,15,9,58,Monterrey,Guadalupe,1,1,1
Argo,15,22,55,San Luis Potosi,Milenium,1,1,1
Argos,15,22,61,San Luis Potosi,Logistik,1,1,1
Aros,15,9,48,Monterrey,Escobedo,1,1,1
Artha Capital,,,,,,0,1,0
Arving Sango,15,1,60,Guanajuato,Salamanca,1,0,0
AS Construcciones,15,7,8,Matamoros,West,1,1,1
Atecno,15,9,58,Monterrey,Guadalupe,0,1,1
Atisa,15,32,50,Tijuana,Libramiento,1,1,1
Avante,15,9,58,Monterrey,Guadalupe,1,1,1
Avia,15,9,56,Monterrey,Santa Catarina,1,1,1
Avicsa,,,,,,0,1,1
Axa,,,,,,0,1,1
Axial,,,,,,0,1,1
Ayusa,15,22,23,San Luis Potosi,Tres Naciones,0,1,1
Begasa,15,22,61,San Luis Potosi,Logistik,1,0,0
Barkus,,,,,,0,1,1
Bermudez,15,27,64,Juarez,Central,1,1,1
Bilden,15,9,48,Monterrey,Escobedo,1,0,0
BIN,,,,,,0,0,1
Bravos,15,27,29,Juarez,Southeast,1,0,0
Bosques del Sur,,,,,,0,1,1
BTSD,,,,,,0,1,0
Cactus,15,19,20,Saltillo,Ramos Arizpe,0,1,1
Cadena,15,30,871,Mexicali,East,1,1,1
