Industrial,Address,Total Land,Available Land,Reserve Land,Number of buildings,Owner,Region,Market,Submarket,Land Conditioned,Year Built,Rail Spur,Natural Ga,Sewage,Water,Electricity,Comments,Latitud,Longitud
Pinar Empresarial,"Parque Pinar Empresarial, Av. Cucba 175, 45221 Zapopan, Jal.","20,77",0,0,5,,Bajio,Guadalajara,Zapopan,Fully developed,2015,Yes,Feasibility,Yes,Yes,Yes,Con factibilidad de gas a pie de calle,"20,73030194","-103,518096"
PIT 3,"Av. Cristóbal Colón 6013, Santa María Tequepexpan, 45601 San Pedro Tlaquepaque, Jal.","7,5",0,0,3,Funo,Bajio,Guadalajara,South Periferico,Fully developed,2008,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural.,"20,60030704","-103,405412"
PIT 4,"Carr. Guadalajara - Chapala 9999, 45672 Zapote del Valle, Jal.","30,05",0,0,8,Hines,Bajio,Guadalajara,El Salto,Fully developed,2016,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con con red de gas.,"20,50422626","-103,284424"
PIT 2,"Av. Cristóbal Colón 5000(LB), Jardines de Santa María, 45608 San Pedro Tlaquepaque, Jal.","22,86",0,0,8,,Bajio,Guadalajara,South Periferico,Fully developed,2005,No,No,Yes,Yes,Yes,Este parque no se encuentra en la platafomer de MA. Confirmar si este parque cuenta con red de gas natural.,"20,60984777","-103,402875"
Poniente Industrial Park,"Carr. la Venta-Nextipac 3020, 45220 Zapopan, Jal.","45,55",0,0,7,Aldo Autopartes,Bajio,Guadalajara,Zapopan,Fully developed,2013,No,No,Yes,Yes,Yes,Confrimar si este parque cuenta con red de gas natural,"20,74863995","-103,531834"
Prologis Park El Salto,"San Martin de Las Flores, 45620 San Pedro Tlaquepaque, Jal.",40,0,0,10,Finsa,Bajio,Guadalajara,El Salto,Fully developed,2009,Yes,Yes,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural.,"20,58537909","-103,286966"
El Bosque II,"La Llave, 45615 San Pedro Tlaquepaque, Jal.","54,6",0,0,24,Prologis,Bajio,Guadalajara,South Periferico,Fully developed,,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural. Verificar año de construcción.,"20,57958091","-103,337765"
Prologis Park Los Altos,"Carretera al Castillo 2000, Nave 2, Minerales, 45694 Jal.","29,36",0,0,6,Prologis,Bajio,Guadalajara,El Salto,Fully developed,2010,No,Yes,Yes,Yes,Yes,Confirmar si este parque tiene red de gas natural,"20,56947151","-103,294053"
San Angel,"Av. Dr. Angel Leaño 401-5, Los Robles, 45134 Zapopan, Jal.","28,67",0,0,0,,Bajio,Guadalajara,Zapopan,Fully developed,2005,No,No,Yes,Yes,Yes,Confirmar si este parque tiene red de gas natural y año de construcción,"20,7543924","-103,416733"
AI San Jorge,"Carr. Guadalajara - Chapala 1208, 45680 La Calera, Jal.",123,0,0,14,American Industries,Bajio,Guadalajara,El Salto,Fully developed,2017,No,No,Yes,Yes,Yes,,"20,43810555","-103,250078"
Santa Rosa,"C. Parras 2001, Alamo Industrial, 45560 San Pedro Tlaquepaque, Jal.","3,2",0,0,4,,Bajio,Guadalajara,South Periferico,Fully developed,,Yes,No,Yes,Yes,Yes,Confirmar si este parque tiene red de gas. Verificar año de construcción,"20,62605405","-103,322968"
Tlaquepark,"Artesanos, 45598 San Pedro Tlaquepaque, Jal.","27,9",0,0,4,Fibra Uno,Bajio,Guadalajara,South Periferico,Fully developed,,Yes,Feasibility,Yes,Yes,Yes,Con factibilidad de gas a pie de calle,"20,57835008","-103,35023"
Vesta Park Guadalajara,"Carretera Guadalajara - El Salto vía El Verde 2004, Col, Jardines del Country, 44210 El Salto, Jal.","71,56",0,0,7,,Bajio,Guadalajara,El Salto,Undeveloped,2023,No,Yes,Yes,Yes,Yes,Confirmar si este parque contara con red de gas,"20,57314647","-103,295363"
Vallarta,"Periférico Poniente Manuel Gómez Morin 1330 Int E, Vallarta, Parque Industrial, Lomas del Colli, 45010 Zapopan, Jal.","10,5",0,0,7,,Bajio,Guadalajara,Zapopan,Fully developed,,No,No,Yes,Yes,Yes,"Este parque no se encuentra en la platafomra de MA, se agrega punto como referencia. Confirmar si este parque cuenta con gas natural. Verificar año de construcción","20,68269789","-103,456844"
Parque Logistico 701,"Morelia-Guadalajara 33, 45668 Jal.","9,3",0,0,1,,Bajio,Guadalajara,Lopez Mateos,Fully developed,2013,No,No,Yes,Yes,Yes,,"20,43745367","-103,532932"
Parque Santa Cruz,"Prol. López Mateos Sur 18000, Santa Cruz de las Flores, 45640 Tlajomulco de Zúñiga, Jal.","48,28",0,0,0,,Bajio,Guadalajara,Lopez Mateos,Fully developed,,No,No,Yes,Yes,Yes,"Este parque no se encuentra en la plataforma de MA. Se agrega como punto, no se mapean las naves por la clase y la antiguedad. Confirmar si este parque cuenta con red de gas natural.","20,47584651","-103,509048"
Prologis Periferico Sur,"Av. González Gallo 1897, San Sebastianito, 45601 San Pedro Tlaquepaque, Jal.","13,55",0,0,6,Prologis,Bajio,Guadalajara,South Periferico,Fully developed,2013,No,No,Yes,Yes,Yes,Confirmar si este parque cuanta con red de gas natural.,"20,58403719","-103,388721"
Prologis Park Jalisco,"Avenida Camino al Iteso 8900 Int. 1F, Parque Industrial Prologis, 45608 San Pedro Tlaquepaque, Jal.","10,95",0,0,4,Prologis,Bajio,Guadalajara,South Periferico,Fully developed,,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural. Verificar año de construcción.,"20,61549469","-103,418226"
West Plaza,"Carr. Guadalajara - Tepic 4935, San Juan de Ocotán, 45203 Zapopan, Jal.","13,93",0,0,24,QGIS,Bajio,Guadalajara,Zapopan,Fully developed,2016,Yes,No,Yes,Yes,Yes,Este parque no se encuentra en la platafomra de MA. Confirmar red de gas.,"20,7184333","-103,49374"
Zapopan Norte Industrial,"Industria Hulera 97, Zapopan Industrial Nte., 45130 Zapopan, Jal.","29,95",0,0,0,,Bajio,Guadalajara,Zapopan,Fully developed,2005,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Se agrega  punto como referencia. Confirmar año de construcción.,"20,74402992","-103,38984"
Parque Industrial Tala,"Km 1.2 Carretera, San Isidro Mazatepec, 45300 Tala, Jal.","39,94",0,0,6,,Bajio,Guadalajara,None,Fully developed,2010,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confimar si este parque cuenta con red de gas natural.,"20,63701426","-103,714893"
San Jose el Astillero,"Carretera Escuela Agricultura 7620, 45220 La Venta del Astillero, Jal.","23,67",0,0,10,,Bajio,Guadalajara,Zapopan,Fully developed,2011,Yes,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma. Confirmar si este parque tiene red de gas natural.,"20,72930288","-103,512908"
San Agustin,"Morelia, Guadalajara - Acatlan de Juarez, San Agustín, Jal.","6,02",0,0,4,,Bajio,Guadalajara,South Periferico,Fully developed,,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confirmar si este parque cuanta con red de gas natural. Verificar año de construcción,"20,55227379","-103,466967"
Avant,"México AVANT Industrial Park, Camino a San Isidro Mazatepec 3 Santa Cruz de las Flores, 45640 Guadalajara, Jal.","49,74",0,0,7,Avant,Bajio,Guadalajara,Lopez Mateos,Fully developed,2018,No,Feasibility,Yes,Yes,Yes,,"20,48771034","-103,50613"
Advance Guadalajara,"Carr. Guadalajara - Chapala km 18, 45675 Tlajomulco de Zúñiga, Jal.","22,18",0,0,13,Advance,Bajio,Guadalajara,El Salto,Fully developed,2016,No,No,Yes,Yes,Yes,,"20,48028244","-103,262613"
Alamo,"Av Patria, Cam. a Las Vegas Esq, Alamo Industrial, 44490 Guadalajara, Jal.","12,05",0,0,14,Private Owner,Bajio,Guadalajara,South Periferico,Fully developed,2014,No,Feasibility,Yes,Yes,Yes,,"20,61929573","-103,335593"
Castillo,"Carr. el Salto 224, Parques del Castillo, 45685 San José del Castillo, Jal.",37,0,0,1,,Bajio,Guadalajara,El Salto,Fully developed,,No,Yes,Yes,Yes,Yes,Confirmar año de construcción. Este parque no se encuentra en la plataforma MA.,"20,52169827","-103,244782"
Centro Logistico,"Carr. el Salto 224, Parques del Castillo, 45685 San José del Castillo, Jal.",1069,0,0,39,,Bajio,Guadalajara,Lopez Mateos,Fully developed,2016,Yes,No,Yes,Yes,Yes,"Se toma el año de construcción por google earth, confirmar.","20,34325318","-103,593342"
Cimeg El Salto,"Avenida del Cobre No 02 Parque Industrial CIMEG, 45680 Guadalajara, Jal.","37,2",0,0,57,,Bajio,Guadalajara,El Salto,Fully developed,2009,No,No,Yes,Yes,Yes,,"20,53267236","-103,243253"
CityPark,"Av. Aviación 5051, San Juan de Ocotán, 45019 Zapopan, Jal.","4,8",0,0,21,,Bajio,Guadalajara,Zapopan,Fully developed,,No,Feasibility,Yes,Yes,Yes,Con factibilidad de gas a pie de calle,"20,7191487","-103,456679"
Condominio Industrial Siglo 21,"Av. Siglo 21, Valle de Santa Cruz, 45640 Tlajomulco de Zúñiga, Jal.",65,0,0,72,,Bajio,Guadalajara,Lopez Mateos,Fully developed,,No,No,Yes,Yes,Yes,Confirmar año de construcción,"20,46871347","-103,501402"
Conjunto Industrial Lopez Mateos - Monraz,"Av. Adolfo López Mateos Sur #4550, Francisco Sarabia, 45235 Zapopan, Jal.","7,7",0,0,16,,Bajio,Guadalajara,South Periferico,Fully developed,,No,No,Yes,Yes,Yes,Confirmar red de gas y año de construcción,"20,60997983","-103,432632"
Industrial Zone,"Av 8 de Julio 2410, Colón Industrial, 44940 Guadalajara, Jal.",0,0,0,1,,Bajio,Guadalajara,South Periferico,Fully developed,,Yes,No,Yes,Yes,Yes,Zona industrial,"20,63852762","-103,360414"
EcoPark,"Av. Juan Gil Preciado 2450, Los Robles, 45134 Nuevo México, Jal.","13,57",0,0,8,,Bajio,Guadalajara,Zapopan,Fully developed,,No,Yes,Yes,Yes,Yes,Verificar año de construcción,"20,75759084","-103,426958"
El Bosque,"Av. Camino al ITESO 2478, El Mante, 45608 San Pedro Tlaquepaque, Jal.","44,71",0,0,9,,Bajio,Guadalajara,South Periferico,Fully developed,,No,No,Yes,Yes,Yes,"Vericar año de construccion, nombre del parque y red de gas","20,61519287","-103,420364"
Parque Industrial El Salto,"Alameda, 45640 San José del Castillo, Jal.","63,65",0,0,37,,Bajio,Guadalajara,El Salto,Fully developed,2015,Yes,Yes,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confirmar si este parque cuenta con red de gas natural.,"20,51500756","-103,243395"
El Salto Park II,"Carr. el Salto 1100, Infonavit Condor, 45683 La Alameda, Jal.","15,35",0,0,0,,Bajio,Guadalajara,El Salto,Undeveloped,,No,,,,,Confirmar servicios,"20,50119301","-103,22971"
Las Cañadas Industrial Park,"Av. Camino a Bosque de San Isidro 1116, Villas de Zapopan, 45130 Zapopan, Jal.","9,6",0,0,0,,Bajio,Guadalajara,Zapopan,Fully developed,,No,No,Yes,Yes,Yes,Es un zona industrial con comercios. Se Agrefa el punto mas no se mapean tenants,"20,74942723","-103,383512"
Montenegro,"Calle Emiliano Zapata 670, La Capilla, 45690 San Pedro Tlaquepaque, Jal.","2,6",0,0,3,,Bajio,Guadalajara,El Salto,Fully developed,2015,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural.,"20,57417216","-103,31942"
Nogales,"Carretera a Nogales Campo Lago, Zapopan, Jal.","9,3",0,0,8,,Bajio,Guadalajara,Zapopan,Fully developed,2015,No,No,Yes,Yes,Yes,,"20,72005844","-103,49552"
El Ferran,"Av. Aviación 1002, San Juan de Ocotán, 45010 Zapopan, Jal.","5,09",0,0,18,,Bajio,Guadalajara,Zapopan,Fully developed,,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confirmar si este parque cuenta con red de gas natural. Verificar año de consón.trucci,"20,70502497","-103,457144"
El Ferran II,"Av. Aviación 1900, San Juan de Ocotán, 45019 Zapopan, Jal.","1,63",0,0,1,,Bajio,Guadalajara,Zapopan,Fully developed,2006,No,Yes,Yes,Yes,Yes,Con factibilidad de gas a pie de calle,"20,70725039","-103,457795"
El Ferran III,"Paseo de los adobes 1079, Guadalajara Technology Park, 45010 Zapopan, Jal.","3,34",0,0,6,,Bajio,Guadalajara,Zapopan,Fully developed,2011,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confirmar si este parque cuenta con red de gas natural.,"20,73170647","-103,498267"
El Salto Park I,"Carr. el Salto 1100, Infonavit Condor, 45683 La Alameda, Jal.","7,97",0,0,2,,Bajio,Guadalajara,El Salto,Fully developed,2016,No,No,Yes,Yes,Yes,Confirmar red de gas natural.,"20,50207692","-103,226966"
Parque Industrial Green,"Av. Perif. Pte. Manuel Gómez Morin 4250, Pirámides, 45070 Zapopan, Jal.","2,3",0,0,4,,Bajio,Guadalajara,Zapopan,Fully developed,2011,No,Feasibility,Yes,Yes,Yes,Con factibilidad de gas a pie de calle,"20,61999166","-103,429803"
Guadalajara Industrial Park,"P.º del Valle 4995 Fracc, Technology Park Guadalajara, 45010 Zapopan, Jal.","70,43",0,0,59,,Bajio,Guadalajara,El Salto,Fully developed,,No,No,Yes,Yes,Yes,Confirmar red de gas del parque,"20,5692587","-103,316469"
Parque Industrial Incalpa,"C. Incalpa, La Llave, 45615 San Pedro Tlaquepaque, Jal.","5,4",0,0,2,,Bajio,Guadalajara,South Periferico,Fully developed,2011,No,No,Yes,Yes,Yes,Este parque no se encuentra en la plataforma de MA. Confirmar si este parque cuenta con red de gas natural.,"20,57459865","-103,345211"
Parque Industrial Intermex,"Piso A, Santa María Tequepexpan, 45604 San Pedro Tlaquepaque, Jal.","8,15",0,0,1,,Bajio,Guadalajara,South Periferico,Fully developed,,No,Feasibility,Yes,Yes,Yes,Con factilibilidad de gas a pie de calle,"20,60648033","-103,40715"
Plataforma Park,45686 Jal.,"110,31",0,0,3,,Bajio,Guadalajara,El Salto,Fully developed,2023,No,,Yes,Yes,Yes,,"20,5494233","-103,256507"
Prologis Park Arrayanes,"Parque Industrial Prologis Arrayanes, Carretera, Km 24.5, Carr. Guadalajara - Chapala, Fraccionamiento Los Silos, 45670 Guadalajara, Jal.","30,15",0,0,4,Prologis,Bajio,Guadalajara,El Salto,Fully developed,2005,No,No,Yes,Yes,Yes,Confirmar si este parque cuenta con red de gas natural.,"20,43241658","-103,245646"
