"name","market_id","sub_market_id"
"Amistad Celaya",1,1
"FINSA Del Norte",4,23
"Finsa El Saucito",6,32
"Bernardo Quintana",2,8
"Stand Alone",8,40
"Advance Puerto Interior",1,6
"El Salto",10,48
CIMA,4,24
"Finsa Puebla II",7,36
"Santa Fe III",1,6
Server,8,38
"Cactus Valley",8,40
Aerotech,2,7
"Tres Naciones",9,46
"Del Lago",4,24
"Logistico El Peral",3,13
"Airport Industrial Park",6,33
WTC,9,47
"La Bomba",2,8
"Queretaro Industrial Park",2,9
"Bajio Industrial Park",1,5
Coacalco,3,12
"Tecnologico Innovacion",2,8
"Milenium Innova",5,25
"Milenium Center Apodaca",5,25
"Milenium Apodaca",5,25
"Pesqueria Technology Park",5,30
"Vesta Park Aguascalientes",16,78
"IGS Escobedo",5,27
Cerritos,8,41
"Finsa Apodaca",5,25
"Santa Fe IV (GIP)",1,6
"Vesta Park SLP",9,43
"Parque Central",1,5
"Castro del Rio",1,2
"Vynmsa Ramos Arizpe",8,40
Flexpark,5,25
"Finsa Guadalupe",5,28
"Logistik II",9,43
"Juarez I",11,52
Amexhe,1,1
"Vynmsa Leon",1,4
"Mencorsa Derramadero",8,39
"Vynmsa Apaseo",1,1
Logistik,9,43
"Finsa Queretaro II",2,7
"Advance Aeropuerto",2,7
"Industrial Gate Escobedo",5,27
Villagran,1,1
"Santa Fe I",1,6
Kaizen,2,7
"Queretaro Industrial Park V",2,9
"Kronos Ind Park",5,25
"Milenium Santa Catarina",5,31
"La Silla Apodaca",5,25
"Salva Indistrial Park",8,39
"Industrial City",1,4
Fipasi,1,6
"El Pacifico",13,67
Bermudez,11,54
"Apodaca Technology Park",5,25
"Conekta Business Park",5,28
"PIT 4",10,48
Maquilpark,14,72
Tecnocentro,5,27
Sendai,1,5
"Puerta Queretaro",2,7
"Finsa Ramos Arizpe",8,40
"Santa Maria",8,40
HSAC,5,26
"Opcion Industrial Park",2,9
"Finsa Aguascalientes",16,78
"Pecari Dulces Nombres",5,25
"QueretaroPark III",2,9
PIA,2,7
"Vesta Puebla",7,34
"Finsa Puebla",7,34
"Campus Cuautitlan",3,13
"Odonnell La Laguna",3,13
"FerroPark II",3,19
TlanePark,3,19
"Colinas Lintel",9,42
"Parque Sur",1,4
"Stiva Leon",1,4
"Queretaro Aerospace Park",2,7
"GDS Business Park",5,25
"Stiva Apodaca",5,25
Alianza,8,39
"Via 54",5,25
"Proximity Park",5,28
"Chihuhua Industrial Complex",6,32
"CPA Logistic Center Estado de Mexico",3,13
"Logicenter Cuatitlan El Sabino",3,13
"Vynmsa Escobedo II",5,27
"Colinas Silao",1,6
"Vesta Las Torres",11,52
Omega,11,54
"IGS Pharr East",14,73
"Reynosa Industrial Park South",14,73
"Del Norte",14,74
Calamanda,2,7
Avant,10,49
"Finsa Queretaro III",2,9
"Kimex Park",3,19
"World Park Cuautitlan",3,13
"Prologis Agua Fria",5,25
Nordika,13,67
"Diamante  Cienega de Flores",5,26
"Odonnell Puente Mexico",3,13
"Tepozpark III",3,18
"Mexiquense Park",3,22
"Tultipark II",3,22
Indutepoz,3,18
"Kampus Industrial Santa Rosa",10,48
"AI San Jorge",10,48
"El Puente",14,73
"Vinedo Complex",13,70
"Ramos Arizpe",8,40
"Prologis Park Fresno",3,22
"Pocket Park Oriente",5,28
"Savy Park V",5,25
"Blvd Independencia II",11,56
"Davisa Apodaca",5,25
Milenium,9,44
"Hub Park Apodaca",5,25
"Aros Apodaca",5,25
"Valle Azcapotzalco",3,11
"Prologis Vallejo DC 2",3,11
"Panorama Industrial El Salto",10,48
"Axis Logistico",10,48
"Pocket Park Aeropuerto",5,25
"Via Verte 2.0",2,7
"Prologis Park Apodaca",5,25
"Nexxus Center Escobedo",5,27
"Vesta Park Guadalupe",5,28
"Vesta Park Mega Region",13,67
"Prologis Park Florido",13,64
Platah,17,79
"SMO II",3,13
"Tepozpark IV",3,18
PIQ,2,9
"Amistad Bajio",1,1
"Advance Monterrey",5,31
"Finsa Jalisco",10,48
"Industrial Partners",8,40
