"id","name"
"1","Afganistán"
"2","Akrotiri"
"3","Albania"
"4","Alemania"
"5","Andorra"
"6","Angola"
"7","Anguila"
"8","Antártida"
"9","Antigua y Barbuda"
"10","Antillas Neerlandesas"
"11","Arabia Saudí­ta"
"12","Arctic Ocean"
"13","Argelia"
"14","Argentina"
"15","Armenia"
"16","Aruba"
"17","Ashmore andCartier Islands"
"18","Atlantic Ocean"
"19","Australia"
"20","Austria"
"21","Azerbaiyán"
"22","Bahamas"
"23","Bahráin"
"24","Bangladesh"
"25","Barbados"
"26","Bélgica"
"27","Belice"
"28","BenÃ­n"
"29","Bermudas"
"30","Bielorrusia"
"31","Birmania Myanmar"
"32","Bolivia"
"33","Bosnia y Hercegovina"
"34","Botsuana"
"35","Brasil"
"36","Brunái"
"37","Bulgaria"
"38","Burkina Faso"
"39","Burundi"
"40","Bután"
"41","Cabo Verde"
"42","Camboya"
"43","Camerún"
"44","Canadá"
"45","Chad"
"46","Chile"
"47","China"
"48","Chipre"
"49","Clipperton Island"
"50","Colombia"
"51","Comoras"
"52","Congo"
"53","Coral Sea Islands"
"54","Corea del Norte"
"55","Corea del Sur"
"56","Costa de Marfil"
"57","Costa Rica"
"58","Croacia"
"59","Cuba"
"60","Dhekelia"
"61","Dinamarca"
"62","Dominica"
"63","Ecuador"
"64","Egipto"
"65","El Salvador"
"66","El Vaticano"
"67","Emiratos Árabes Unidos"
"68","Eritrea"
"69","Eslovaquia"
"70","Eslovenia"
"71","España"
"72","Estados Unidos"
"73","Estonia"
"74","Etiopí­a"
"75","Filipinas"
"76","Finlandia"
"77","Fiyi"
"78","Francia"
"79","Gabón"
"80","Gambia"
"81","Gaza Strip"
"82","Georgia"
"83","Ghana"
"84","Gibraltar"
"85","Granada"
"86","Grecia"
"87","Groenlandia"
"88","Guam"
"89","Guatemala"
"90","Guernsey"
"91","Guinea"
"92","Guinea Ecuatorial"
"93","Guinea-Bissau"
"94","Guyana"
"95","Haití"
"96","Honduras"
"97","Hong Kong"
"98","Hungría"
"99","India"
"100","Indian Ocean"
"101","Indonesia"
"102","Irán"
"103","Iraq"
"104","Irlanda"
"105","Isla Bouvet"
"106","Isla Christmas"
"107","Isla Norfolk"
"108","Islandia"
"109","Islas Caimán"
"110","Islas Cocos"
"111","Islas Cook"
"112","Islas Feroe"
"113","Islas Georgia del Sur y Sandwich del Sur"
"114","Islas Heard y McDonald"
"115","Islas Malvinas"
"116","Islas Marianas del Norte"
"117","IslasMarshall"
"118","Islas Pitcairn"
"119","Islas Salomón"
"120","Islas Turcas y Caicos"
"121","Islas Ví­rgenes Americanas"
"122","Islas Vírgenes Británicas"
"123","Israel"
"124","Italia"
"125","Jamaica"
"126","Jan Mayen"
"127","Japón"
"128","Jersey"
"129","Jordania"
"130","Kazajistán"
"131","Kenia"
"132","Kirguizistán"
"133","Kiribati"
"134","Kuwait"
"135","Laos"
"136","Lesoto"
"137","Letonia"
"138","Lí­bano"
"139","Liberia"
"140","Libia"
"141","Liechtenstein"
"142","Lituania"
"143","Luxemburgo"
"144","Macao"
"145","Macedonia"
"146","Madagascar"
"147","Malasia"
"148","Malaui"
"149","Maldivas"
"150","Malí"
"151","Malta"
"152","Man, Isle of"
"153","Marruecos"
"154","Mauricio"
"155","Mauritania"
"156","Mayotte"
"157","México"
"158","Micronesia"
"159","Moldavia"
"160","Mónaco"
"161","Mongolia"
"162","Montserrat"
"163","Mozambique"
"164","Namibia"
"165","Nauru"
"166","Navassa Island"
"167","Nepal"
"168","Nicaragua"
"169","Níger"
"170","Nigeria"
"171","Niue"
"172","Noruega"
"173","Nueva Caledonia"
"174","Nueva Zelanda"
"175","Omán"
"176","Pacific Ocean"
"177","Paí­ses Bajos"
"178","Pakistán"
"179","Palaos"
"180","Panamá"
"181","Papúa-Nueva Guinea"
"182","Paracel Islands"
"183","Paraguay"
"184","Perú"
"185","Polinesia Francesa"
"186","Polonia"
"187","Portugal"
"188","Puerto Rico"
"189","Qatar"
"190","Reino Unido"
"191","República Centroafricana"
"192","República Checa"
"193","República Democrática del Congo"
"194","República Dominicana"
"195","Ruanda"
"196","Rumania"
"197","Rusia"
"198","Sáhara Occidental"
"199","Samoa"
"200","Samoa Americana"
"201","San Cristóbal y Nieves"
"202","San Marino"
"203","San Pedro y Miquelán"
"204","San Vicente y las Granadinas"
"205","Santa Helena"
"206","Santa Lucía"
"207","Santo Tomás y Prí­ncipe"
"208","Senegal"
"209","Seychelles"
"210","Sierra Leona"
"211","Singapur"
"212","Siria"
"213","Somalia"
"214","Southern Ocean"
"215","Spratly Islands"
"216","Sri Lanka"
"217","Suazilandia"
"218","Sudáfrica"
"219","Sudán"
"220","Suecia"
"221","Suiza"
"222","Surinam"
"223","Svalbard y Jan Mayen"
"224","Tailandia"
"225","Taiwán"
"226","Tanzania"
"227","Tayikistán"
"228","Territorio Británico del Océano Indico"
"229","Territorios Australes Franceses"
"230","Timor Oriental"
"231","Togo"
"232","Tokelau"
"233","Tonga"
"234","Trinidad y Tobago"
"235","Túnez"
"236","Turkmenistán"
"237","Turquía"
"238","Tuvalu"
"239","Ucrania"
"240","Uganda"
"241","Unión Europea"
"242","Uruguay"
"243","Uzbekistán"
"244","Vanuatu"
"245","Venezuela"
"246","Vietnam"
"247","Wake Island"
"248","Wallis y Futuna"
"249","West Bank"
"250","World"
"251","Yemen"
"252","Yibuti"
"253","Zambia"
"254","Zimbabue"
