id,name
6,3PL
34,Accessories
51,Aerospace
108,Agriculture
29,Agroindustry
10,Aluminum
30,Appliances
80,Automotive
85,Cable Wire
47,Call Center
46,Chemical & Pharmaceutical
35,Construction
40,Consumer Products
25,Cosmetics
11,E-commerce
76,Electronics
52,Energy
66,Paints and Enamels
33,Fiber
23,Filter
82,Financial Services
32,Fitness
73,Food & Beverage
53,Forged Components
28,Furniture
36,Glass
22,Health & Beauty
50,HVAC
77,Lighting
71,Logistics
105,Machinery Tools
69,Medical
72,Metalmechanics
24,Optical
67,Packaging
62,Pallets
75,Paper
54,Pipes
38,Plastic Injection
74,Plastics
42,Printing
19,Recycling
26,Retail
56,Shelter
107,Sporting Goods
78,Stamping
64,Steel
7,Supply Chain
93,TBD
14,Technology
39,Telecommunications
68,Textile
48,Toys
55,Heavy-Duty Truck Parts
81,Pipes and Fittings
1,Vending Machines
13,Warehouse
104,Water Solutions
60,White Goods
57,Wind Energy
37,Wire & Cable
